Geo Shape;NOM_ARRET;ID_PROJET;NOM_PROJET;ID_TRONCON;TRONCON;NATURE;ID_MODE;MODE;SOUS_MODE;COR_EXIST;TERMINUS;PHASE;VARIANTE;CREATION;PROLONG;AMELIOR;STATUT;MES;MES_date;DUP;DUP_DATE;OPENDATA;geo_point_2d
"{""type"": ""Point"", ""coordinates"": [2.094948285629467, 48.9017160205207]}";Saint-Germain RER;319;Tram 13;319;Tangentielle Ouest (Phase 1);arrêt;3;3;5;1;1;1;;0;1;0;8;0;;1;;1;48.9017160205, 2.09494828563
"{""type"": ""Point"", ""coordinates"": [2.072966450012981, 48.79877820041291]}";Saint-Cyr RER;319;Tram 13;319;Tangentielle Ouest (Phase 1);arrêt;3;3;5;1;1;1;;0;1;0;8;0;;1;;1;48.7987782004, 2.07296645001
"{""type"": ""Point"", ""coordinates"": [2.395341508371068, 48.63395897487315]}";Croizat;318;Tram 12;318;Tram-Train Massy-Évry;arrêt;3;3;5;0;0;;;1;0;0;8;0;;1;;1;48.6339589749, 2.39534150837
"{""type"": ""Point"", ""coordinates"": [2.257023879004012, 48.803325862281675]}";Place du Garde;316;Tram 10;316;T10 : Tramway Antony - Clamart;arrêt;3;3;4;0;1;;;1;0;0;7;0;;1;;1;48.8033258623, 2.257023879
"{""type"": ""Point"", ""coordinates"": [2.252691294125849, 48.79007344104897]}";Jardin Parisien;316;Tram 10;316;T10 : Tramway Antony - Clamart;arrêt;3;3;4;0;0;;;1;0;0;7;0;;1;;1;48.790073441, 2.25269129413
"{""type"": ""Point"", ""coordinates"": [2.532188673268823, 48.90858195942553]}";Léon Blum;308;Tram 04 - CM;308;T4 Clichy - Montfermeil;arrêt;3;3;5;0;0;;;0;1;0;9;0;;1;;1;48.9085819594, 2.53218867327
"{""type"": ""Point"", ""coordinates"": [2.517025495287702, 48.90816541612633]}";Gargan;308;Tram 04 - CM;308;T4 Clichy - Montfermeil;arrêt;3;3;5;1;1;;;0;1;0;9;0;;1;;1;48.9081654161, 2.51702549529
"{""type"": ""Point"", ""coordinates"": [2.567307207676798, 48.90021873659585]}";Henri Barbusse;308;Tram 04 - CM;308;T4 Clichy - Montfermeil;arrêt;3;3;5;0;0;;;0;1;0;9;0;;1;;1;48.9002187366, 2.56730720768
"{""type"": ""Point"", ""coordinates"": [2.571123709548882, 48.900725996086095]}";Montfermeil hôpital;308;Tram 04 - CM;308;T4 Clichy - Montfermeil;arrêt;3;3;5;0;1;;;0;1;0;9;0;;1;;1;48.9007259961, 2.57112370955
"{""type"": ""Point"", ""coordinates"": [2.16204390899757, 48.729557375990105]}";Christ de Saclay;218;bus Massy - Saclay;218;TCSP Plateau de Saclay (Phase 2);arrêt;2;2;2;0;1;2;;0;1;0;9;0;;1;;1;48.729557376, 2.162043909
"{""type"": ""Point"", ""coordinates"": [2.146633981504812, 48.71446352447247]}";Saint-Aubin;218;bus Massy - Saclay;218;TCSP Plateau de Saclay (Phase 2);arrêt;2;2;2;0;0;2;;0;1;0;9;0;;1;;1;48.7144635245, 2.1466339815
"{""type"": ""Point"", ""coordinates"": [2.203168919885789, 48.71431165834592]}";Fresnel;218;bus Massy - Saclay;218;TCSP Plateau de Saclay (Phase 2);arrêt;2;2;2;0;1;2;;0;1;0;9;0;;1;;1;48.7143116583, 2.20316891989
"{""type"": ""Point"", ""coordinates"": [2.513936786129873, 48.97409232157368]}";Parc des expositions;209;bus ligne 20;209;BHNS Gonesse;arrêt;2;2;2;1;1;;;1;0;0;9;0;;1;;1;48.9740923216, 2.51393678613
"{""type"": ""Point"", ""coordinates"": [1.715210986447546, 48.983654507541004]}";Mantes Station;414;Train E - Ouest;414;RER E à l'Ouest - Mantes;arrêt;4;4;6;1;0;;;0;1;0;9;0;;1;;1;48.9836545075, 1.71521098645
"{""type"": ""Point"", ""coordinates"": [1.955479247534605, 48.992613881639144]}";Les Clairières de Verneuil;414;Train E - Ouest;414;RER E à l'Ouest - Mantes;arrêt;4;4;6;1;0;;;0;1;0;9;0;;1;;1;48.9926138816, 1.95547924753
"{""type"": ""Point"", ""coordinates"": [1.983143352086498, 48.98144596941029]}";Vernouillet-Verneuil;414;Train E - Ouest;414;RER E à l'Ouest - Mantes;arrêt;4;4;6;1;0;;;0;1;0;9;0;;1;;1;48.9814459694, 1.98314335209
"{""type"": ""Point"", ""coordinates"": [2.476234975838892, 48.90539795750976]}";Gâtine;244;TZen3;244;TZen3 : TCSP RN3;arrêt;2;2;3;0;0;;;1;0;0;7;0;;0;;1;48.9053979575, 2.47623497584
"{""type"": ""Point"", ""coordinates"": [2.49539427921894, 48.908071408058014]}";La Fourche;244;TZen3;244;TZen3 : TCSP RN3;arrêt;2;2;3;0;0;;;1;0;0;7;0;;0;;1;48.9080714081, 2.49539427922
"{""type"": ""Point"", ""coordinates"": [2.457888302886953, 48.901512672349426]}";Parc de la Bergère;244;TZen3;244;TZen3 : TCSP RN3;arrêt;2;2;3;0;0;;;1;0;0;7;0;;0;;1;48.9015126723, 2.45788830289
"{""type"": ""Point"", ""coordinates"": [2.488822951863062, 48.90712610085465]}";Pasteur;244;TZen3;244;TZen3 : TCSP RN3;arrêt;2;2;3;0;0;;;1;0;0;7;0;;0;;1;48.9071261009, 2.48882295186
"{""type"": ""Point"", ""coordinates"": [2.557799985685863, 48.60508487202224]}";Avenue 8 mai 1945;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;0;;;1;0;0;7;0;;1;;1;48.605084872, 2.55779998569
"{""type"": ""Point"", ""coordinates"": [2.596176803575962, 48.58660510078284]}";Boissenart;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;0;;;1;0;0;7;0;;1;;1;48.5866051008, 2.59617680358
"{""type"": ""Point"", ""coordinates"": [2.609747179513419, 48.57282358853559]}";Aimé Césaire;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;0;;;1;0;0;7;0;;1;;1;48.5728235885, 2.60974717951
"{""type"": ""Point"", ""coordinates"": [2.625865587091315, 48.56823067145685]}";PA Jean Monnet;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;0;;;1;0;0;7;0;;1;;1;48.5682306715, 2.62586558709
"{""type"": ""Point"", ""coordinates"": [2.653763444838978, 48.553034923870484]}";Montaigu;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;0;;;1;0;0;7;0;;1;;1;48.5530349239, 2.65376344484
"{""type"": ""Point"", ""coordinates"": [2.6617100030204, 48.53874554484585]}";Saint Jean;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;0;;;1;0;0;7;0;;1;;1;48.5387455448, 2.66171000302
"{""type"": ""Point"", ""coordinates"": [2.368239750799281, 48.81553196407723]}";Barbès-Châteaudun;315;Tram 09;315;T9 : Tramway Paris - Orly;arrêt;3;3;4;0;0;1;;1;0;0;8;0;;1;;1;48.8155319641, 2.3682397508
"{""type"": ""Point"", ""coordinates"": [2.374914365136766, 48.80721521703157]}";Barbusse;315;Tram 09;315;T9 : Tramway Paris - Orly;arrêt;3;3;4;0;0;1;;1;0;0;8;0;;1;;1;48.807215217, 2.37491436514
"{""type"": ""Point"", ""coordinates"": [2.381510971736228, 48.79882265296958]}";Champs Fleuris;315;Tram 09;315;T9 : Tramway Paris - Orly;arrêt;3;3;4;0;0;1;;1;0;0;8;0;;1;;1;48.798822653, 2.38151097174
"{""type"": ""Point"", ""coordinates"": [2.405808944037218, 48.76391487107732]}";Rouget de Lisle;315;Tram 09;315;T9 : Tramway Paris - Orly;arrêt;3;3;4;0;0;1;;1;0;0;8;0;;1;;1;48.7639148711, 2.40580894404
"{""type"": ""Point"", ""coordinates"": [2.416612616850875, 48.75241388080942]}";Christophe Colomb;315;Tram 09;315;T9 : Tramway Paris - Orly;arrêt;3;3;4;0;0;1;;1;0;0;8;0;;1;;1;48.7524138808, 2.41661261685
"{""type"": ""Point"", ""coordinates"": [2.498000522395323, 48.975372876046336]}";Paris Nord 2 - Zone Commerciale;209;bus ligne 20;209;BHNS Gonesse;arrêt;2;2;2;0;0;;;1;0;0;9;0;;1;;1;48.975372876, 2.4980005224
"{""type"": ""Point"", ""coordinates"": [2.459882917503267, 48.98533351982182]}";Fontaine Cypierre;209;bus ligne 20;209;BHNS Gonesse;arrêt;2;2;2;0;0;;;1;0;0;9;0;;1;;1;48.9853335198, 2.4598829175
"{""type"": ""Point"", ""coordinates"": [2.319740313298555, 48.818676409912605]}";Mairie de Montrouge;102;metro 04;102;ligne 4 à Bagneux;arrêt;1;1;1;0;1;1;;0;1;0;9;0;;0;;1;48.8186764099, 2.3197403133
"{""type"": ""Point"", ""coordinates"": [2.347168005260541, 48.861909041119446]}";Châtelet - Les Halles;912;pôle de Châtelet - Les Halles;;pôle de Châtelet - Les Halles;pôle multimodal;9;9;9;0;0;;;0;0;0;9;0;1899-12-30T00:00:00+00:00;0;;1;48.8619090411, 2.34716800526
"{""type"": ""Point"", ""coordinates"": [2.321743589558779, 48.90449642057461]}";Clichy - Saint-Ouen RER;122;GPE - m14;122;GPE - ligne 14 - nord - phase 1 - Mairie de St-Ouen;arrêt;1;1;1;1;0;nord/1;;0;1;0;9;0;;0;;1;48.9044964206, 2.32174358956
"{""type"": ""Point"", ""coordinates"": [2.36699277580828, 48.76017323314655]}";M.I.N. Porte de Thiais;122;GPE - m14;122;GPE - ligne 14 - sud;arrêt;1;1;1;1;0;sud;;0;1;0;7;0;;0;;1;48.7601732331, 2.36699277581
"{""type"": ""Point"", ""coordinates"": [2.349603846879389, 48.80986346142256]}";Kremlin-Bicêtre Hôpital;122;GPE - m14;122;GPE - ligne 14 - sud;arrêt;1;1;1;0;0;sud;;0;1;0;7;0;;0;;1;48.8098634614, 2.34960384688
"{""type"": ""Point"", ""coordinates"": [2.358884395410276, 48.82129810881198]}";Maison Blanche;122;GPE - m14;122;GPE - ligne 14 - sud;arrêt;1;1;1;1;0;sud;;0;1;0;7;0;;0;;1;48.8212981088, 2.35888439541
"{""type"": ""Point"", ""coordinates"": [2.273430377480781, 48.81412021631326]}";Fort d'Issy-Vanves-Clamart;122;GPE - m15;122;GPE - ligne 15 - sud;arrêt;1;1;1;1;0;sud;;1;0;0;8;0;;0;;1;48.8141202163, 2.27343037748
"{""type"": ""Point"", ""coordinates"": [2.230260286908603, 48.827459657352186]}";Pont de Sèvres;122;GPE - m15;122;GPE - ligne 15 - sud;arrêt;1;1;1;0;1;sud;;1;0;0;8;0;;0;;1;48.8274596574, 2.23026028691
"{""type"": ""Point"", ""coordinates"": [2.586322469046661, 48.87396118417447]}";Chelles;122;GPE - m16;122;GPE - ligne 16;arrêt;1;1;1;0;0;;;1;0;0;7;0;;0;;1;48.8739611842, 2.58632246905
"{""type"": ""Point"", ""coordinates"": [2.346577368641346, 48.91746710608594]}";Saint-Denis Pleyel;122;GPE - m15;122;GPE - ligne 15 - ouest - phase 2;arrêt;1;1;1;1;1;ouest/2;;1;0;0;7;0;;0;;1;48.9174671061, 2.34657736864
"{""type"": ""Point"", ""coordinates"": [2.34936523945399, 48.7930549126736]}";Villejuif Institut Gustave Roussy;122;GPE - m14;122;GPE - ligne 14 - sud;arrêt;1;1;1;1;0;sud;;0;1;0;7;0;;0;;1;48.7930549127, 2.34936523945
"{""type"": ""Point"", ""coordinates"": [2.230260286908603, 48.827459657352186]}";Pont de Sèvres;122;GPE - m15;122;GPE - ligne 15 - ouest - phase 1;arrêt;1;1;1;0;1;ouest/1;;1;0;0;7;0;;0;;1;48.8274596574, 2.23026028691
"{""type"": ""Point"", ""coordinates"": [1.695981373598412, 48.99428197367112]}";;214;bus Mantes la-Jolie;214;TCSP Mantes-la-Jolie/Gare du Mantois;arrêt;2;2;2;0;0;;;1;0;0;3;0;1899-12-30T00:00:00+00:00;0;;1;48.9942819737, 1.6959813736
"{""type"": ""Point"", ""coordinates"": [1.67591967383727, 48.999480446520764]}";;214;bus Mantes la-Jolie;214;TCSP Mantes-la-Jolie/Gare du Mantois;arrêt;2;2;2;0;0;;;1;0;0;3;0;1899-12-30T00:00:00+00:00;0;;1;48.9994804465, 1.67591967384
"{""type"": ""Point"", ""coordinates"": [1.671864665688475, 49.00024740120418]}";;214;bus Mantes la-Jolie;214;TCSP Mantes-la-Jolie/Gare du Mantois;arrêt;2;2;2;0;0;;;1;0;0;3;0;1899-12-30T00:00:00+00:00;0;;1;49.0002474012, 1.67186466569
"{""type"": ""Point"", ""coordinates"": [1.660789635822515, 49.00161389085608]}";;214;bus Mantes la-Jolie;214;TCSP Mantes-la-Jolie/Gare du Mantois;arrêt;2;2;2;0;0;;;1;0;0;3;0;1899-12-30T00:00:00+00:00;0;;1;49.0016138909, 1.66078963582
"{""type"": ""Point"", ""coordinates"": [1.655433058706648, 49.000910612297645]}";;214;bus Mantes la-Jolie;214;TCSP Mantes-la-Jolie/Gare du Mantois;arrêt;2;2;2;0;0;;;1;0;0;3;0;1899-12-30T00:00:00+00:00;0;;1;49.0009106123, 1.65543305871
"{""type"": ""Point"", ""coordinates"": [2.366646607390248, 48.960052874708516]}";Pierrefitte-Stains;317;Tram 11;317;Tangentielle Nord : Epinay - Le Bourget (Phase 1);arrêt;3;3;5;0;0;;;1;0;0;9;0;;1;;1;48.9600528747, 2.36664660739
"{""type"": ""Point"", ""coordinates"": [2.436398062869576, 48.898703032520636]}";Bobigny - La Folie;317;Tram 11;317;Tangentielle Nord : Le Bourget - Noisy-Le-Sec (Phase 2);arrêt;3;3;5;0;0;;;1;0;0;7;0;;1;;1;48.8987030325, 2.43639806287
"{""type"": ""Point"", ""coordinates"": [2.457742002004044, 48.867151581287374]}";Rue de Rosny;304;Tram 01 - VDF;304;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;3;4;0;0;;;0;1;0;8;0;;1;;1;48.8671515813, 2.457742002
"{""type"": ""Point"", ""coordinates"": [2.440756099035143, 48.883917536354595]}";Place Carnot;304;Tram 01 - VDF;304;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;3;4;1;0;;;0;1;0;8;0;;1;;1;48.8839175364, 2.44075609904
"{""type"": ""Point"", ""coordinates"": [2.152134336537288, 48.719890986537706]}";Mare du Vivier - CEA;218;bus Massy - Saclay;218;TCSP Plateau de Saclay (Phase 2);arrêt;2;2;2;0;0;2;;0;1;0;9;0;;1;;1;48.7198909865, 2.15213433654
"{""type"": ""Point"", ""coordinates"": [2.266826773953657, 48.93156536708485]}";Fossés Jean;302;Tram 01 - Colombes;302;T1 Ouest : Asnières - Colombes;arrêt;3;3;4;0;0;;;0;1;0;7;0;;1;;1;48.9315653671, 2.26682677395
"{""type"": ""Point"", ""coordinates"": [2.26288547227933, 48.93453817122137]}";Gare du Stade;302;Tram 01 - Colombes;302;T1 Ouest : Asnières - Colombes;arrêt;3;3;4;1;0;;;0;1;0;7;0;;1;;1;48.9345381712, 2.26288547228
"{""type"": ""Point"", ""coordinates"": [2.254407218730193, 48.92894681719899]}";Pierre de Coubertin;302;Tram 01 - Colombes;302;T1 Ouest : Asnières - Colombes;arrêt;3;3;4;0;0;;;0;1;0;7;0;;1;;1;48.9289468172, 2.25440721873
"{""type"": ""Point"", ""coordinates"": [2.228370382784683, 48.91437658265498]}";Gabriel Peri;302;Tram 01 - Colombes;302;T1 Ouest : Asnières - Colombes;arrêt;3;3;4;1;1;;;0;1;0;7;0;;1;;1;48.9143765827, 2.22837038278
"{""type"": ""Point"", ""coordinates"": [2.480511148060685, 48.88275159763063]}";Rosny-Bois-Perrier;110;metro 11 - RBP;110;ligne 11 à Rosny-Bois-Perrier;arrêt;1;1;1;1;1;;;0;1;0;9;0;;1;;1;48.8827515976, 2.48051114806
"{""type"": ""Point"", ""coordinates"": [2.265899097109115, 48.76469594994354]}";Esplanade;316;Tram 10;316;T10 : Tramway Antony - Clamart;arrêt;3;3;4;0;0;;;1;0;0;7;0;;1;;1;48.7646959499, 2.26589909711
"{""type"": ""Point"", ""coordinates"": [2.44608364389343, 48.89924904191929]}";Ecole Hôtelière;244;TZen3;244;TZen3 : TCSP RN3;arrêt;2;2;3;0;0;;;1;0;0;7;0;;0;;1;48.8992490419, 2.44608364389
"{""type"": ""Point"", ""coordinates"": [2.452086429465368, 48.90039302393922]}";Arts de la Rue;244;TZen3;244;TZen3 : TCSP RN3;arrêt;2;2;3;0;0;;;1;0;0;7;0;;0;;1;48.9003930239, 2.45208642947
"{""type"": ""Point"", ""coordinates"": [2.565528485670111, 48.60057995372703]}";Miroir d'eau;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;0;;;1;0;0;7;0;;1;;1;48.6005799537, 2.56552848567
"{""type"": ""Point"", ""coordinates"": [2.590188195221038, 48.59455689204034]}";Les Routoires;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;0;;;1;0;0;7;0;;1;;1;48.594556892, 2.59018819522
"{""type"": ""Point"", ""coordinates"": [2.640571350060406, 48.5551901296891]}";Hôpital;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;0;;;1;0;0;7;0;;1;;1;48.5551901297, 2.64057135006
"{""type"": ""Point"", ""coordinates"": [2.657273123949179, 48.55077161708925]}";3 horloges;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;0;;;1;0;0;7;0;;1;;1;48.5507716171, 2.65727312395
"{""type"": ""Point"", ""coordinates"": [2.662579882568005, 48.545982531377355]}";Castors;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;0;;;1;0;0;7;0;;1;;1;48.5459825314, 2.66257988257
"{""type"": ""Point"", ""coordinates"": [2.655062949098436, 48.528515153943324]}";Place de la Gare;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;1;;;1;0;0;7;0;;1;;1;48.5285151539, 2.6550629491
"{""type"": ""Point"", ""coordinates"": [2.634261200971767, 48.560798804376844]}";PA Konrad Adenauer;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;0;;;1;0;0;7;0;;1;;1;48.5607988044, 2.63426120097
"{""type"": ""Point"", ""coordinates"": [2.399375864563053, 48.772992631543474]}";Trois Communes;315;Tram 09;315;T9 : Tramway Paris - Orly;arrêt;3;3;4;0;0;1;;1;0;0;8;0;;1;;1;48.7729926315, 2.39937586456
"{""type"": ""Point"", ""coordinates"": [2.318679120665014, 48.80275710403365]}";Bagneux M4;118;metro 15 sud;118;ligne 15 - sud;arrêt;1;1;1;1;0;sud;;1;0;0;8;0;;0;;1;48.802757104, 2.31867912067
"{""type"": ""Point"", ""coordinates"": [2.185353376302864, 48.920379373924355]}";Houilles - Carrières-sur-Seine;414;Train E - Ouest;414;RER E à l'Ouest - Mantes;arrêt;4;4;6;1;0;;;0;1;0;9;0;;1;;1;48.9203793739, 2.1853533763
"{""type"": ""Point"", ""coordinates"": [2.509847414912628, 48.97978098936077]}";Bois de la Pie;209;bus ligne 20;209;BHNS Gonesse;arrêt;2;2;2;0;0;;;1;0;0;9;0;;1;;1;48.9797809894, 2.50984741491
"{""type"": ""Point"", ""coordinates"": [2.228533882467139, 48.920330706429695]}";Les Greves;302;Tram 01 - Colombes;302;T1 Ouest : Asnières - Colombes;arrêt;3;3;4;0;0;;;0;1;0;7;0;;1;;1;48.9203307064, 2.22853388247
"{""type"": ""Point"", ""coordinates"": [2.21505923336233, 48.90154345951677]}";Nanterre - Université;901;pôle de Nanterre - Université;;pôle de Nanterre - Université;pôle multimodal;9;9;9;0;0;;;0;0;0;9;0;1899-12-30T00:00:00+00:00;0;;1;48.9015434595, 2.21505923336
"{""type"": ""Point"", ""coordinates"": [2.324256032653556, 48.87576459402025]}";Saint-Lazare;122;GPE - m14;122;GPE - ligne 14 - nord - phase 1 - Mairie de St-Ouen;arrêt;1;1;1;1;1;nord/1;;0;1;0;9;0;;0;;1;48.875764594, 2.32425603265
"{""type"": ""Point"", ""coordinates"": [2.315176897304784, 48.88956082831537]}";Pont Cardinet;122;GPE - m14;122;GPE - ligne 14 - nord - phase 1 - Mairie de St-Ouen;arrêt;1;1;1;1;0;nord/1;;0;1;0;9;0;;0;;1;48.8895608283, 2.3151768973
"{""type"": ""Point"", ""coordinates"": [2.368052243960689, 48.82723868536501]}";Olympiades;122;GPE - m14;122;GPE - ligne 14 - sud;arrêt;1;1;1;0;0;sud;;0;1;0;7;0;;0;;1;48.8272386854, 2.36805224396
"{""type"": ""Point"", ""coordinates"": [2.23718908802452, 48.89220655655849]}";La Défense;122;GPE - m15;122;GPE - ligne 15 - ouest - phase 2;arrêt;1;1;1;1;0;ouest/2;;1;0;0;7;0;;0;;1;48.8922065566, 2.23718908802
"{""type"": ""Point"", ""coordinates"": [2.526382943759427, 48.823986759529426]}";Bry - Villiers - Champigny;122;GPE - m15;122;GPE - ligne 15 - sud;arrêt;1;1;1;0;0;sud;;1;0;0;8;0;;0;;1;48.8239867595, 2.52638294376
"{""type"": ""Point"", ""coordinates"": [2.387039374270739, 48.78998996221601]}";Vitry Centre;122;GPE - m15;122;GPE - ligne 15 - sud;arrêt;1;1;1;1;0;sud;;1;0;0;8;0;;0;;1;48.7899899622, 2.38703937427
"{""type"": ""Point"", ""coordinates"": [2.384646333159376, 48.929086806784326]}";La Courneuve-Six Routes;122;GPE - m16;122;GPE - ligne 16;arrêt;1;1;1;1;0;;;1;0;0;7;0;;0;;1;48.9290868068, 2.38464633316
"{""type"": ""Point"", ""coordinates"": [2.580803556290872, 48.84345646911863]}";Noisy-Champs;122;GPE - m16;122;GPE - ligne 16;arrêt;1;1;1;1;1;;;1;0;0;7;0;;0;;1;48.8434564691, 2.58080355629
"{""type"": ""Point"", ""coordinates"": [2.362591469689739, 48.72808339047629]}";Aéroport d'Orly;122;GPE - m14;122;GPE - ligne 14 - sud;arrêt;1;1;1;1;1;sud;;1;0;0;7;0;;0;;1;48.7280833905, 2.36259146969
"{""type"": ""Point"", ""coordinates"": [2.346577368641346, 48.91746710608594]}";Saint-Denis Pleyel;122;GPE - m14;122;GPE - ligne 14 - nord - phase 2;arrêt;1;1;1;1;1;nord/2;;1;0;0;7;0;;0;;1;48.9174671061, 2.34657736864
"{""type"": ""Point"", ""coordinates"": [1.683650609807542, 49.00112878311146]}";;214;bus Mantes la-Jolie;214;TCSP Mantes-la-Jolie/Gare du Mantois;arrêt;2;2;2;0;0;;;1;0;0;3;0;1899-12-30T00:00:00+00:00;0;;1;49.0011287831, 1.68365060981
"{""type"": ""Point"", ""coordinates"": [1.678622953528655, 49.0015521860253]}";;214;bus Mantes la-Jolie;214;TCSP Mantes-la-Jolie/Gare du Mantois;arrêt;2;2;2;0;0;;;1;0;0;3;0;1899-12-30T00:00:00+00:00;0;;1;49.001552186, 1.67862295353
"{""type"": ""Point"", ""coordinates"": [1.668897436008981, 49.00232387548114]}";;214;bus Mantes la-Jolie;214;TCSP Mantes-la-Jolie/Gare du Mantois;arrêt;2;2;2;0;0;;;1;0;0;3;0;1899-12-30T00:00:00+00:00;0;;1;49.0023238755, 1.66889743601
"{""type"": ""Point"", ""coordinates"": [2.454714211064978, 48.87833670193852]}";Hôpital;110;metro 11 - RBP;110;ligne 11 à Rosny-Bois-Perrier;arrêt;1;1;1;0;0;;;0;1;0;9;0;;1;;1;48.8783367019, 2.45471421106
"{""type"": ""Point"", ""coordinates"": [2.407576768063945, 48.62508421000367]}";Monnet;318;Tram 12;318;Tram-Train Massy-Évry;arrêt;3;3;5;0;0;;;1;0;0;8;0;;1;;1;48.62508421, 2.40757676806
"{""type"": ""Point"", ""coordinates"": [2.411316465458828, 48.943567397939006]}";Dugny-La Courneuve;317;Tram 11;317;Tangentielle Nord : Epinay - Le Bourget (Phase 1);arrêt;3;3;5;0;0;;;1;0;0;9;0;;1;;1;48.9435673979, 2.41131646546
"{""type"": ""Point"", ""coordinates"": [2.473405139295647, 48.862154421772075]}";Côte du Nord;304;Tram 01 - VDF;304;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;3;4;0;0;;;0;1;0;8;0;;1;;1;48.8621544218, 2.4734051393
"{""type"": ""Point"", ""coordinates"": [2.362618263949531, 48.665319923402194]}";Viry - Coteaux de l'Orge;318;Tram 12;318;Tram-Train Massy-Évry;arrêt;3;3;5;0;0;;;1;0;0;8;0;;1;;1;48.6653199234, 2.36261826395
"{""type"": ""Point"", ""coordinates"": [2.371962954932882, 48.69852307789069]}";Pyramide;312;Tram 07;312;T7 : Athis Mons - Juvisy (Phase 2);arrêt;3;3;4;0;0;2;;0;1;0;8;0;;1;;1;48.6985230779, 2.37196295493
"{""type"": ""Point"", ""coordinates"": [2.24950654588259, 48.774257567169506]}";Novéos;316;Tram 10;316;T10 : Tramway Antony - Clamart;arrêt;3;3;4;0;0;;;1;0;0;7;0;;1;;1;48.7742575672, 2.24950654588
"{""type"": ""Point"", ""coordinates"": [2.254174463626753, 48.76677097301019]}";Centre commercial;316;Tram 10;316;T10 : Tramway Antony - Clamart;arrêt;3;3;4;0;0;;;1;0;0;7;0;;1;;1;48.766770973, 2.25417446363
"{""type"": ""Point"", ""coordinates"": [2.467356117418251, 48.882243731337404]}";Londeau-Domus;110;metro 11 - RBP;110;ligne 11 à Rosny-Bois-Perrier;arrêt;1;1;1;0;0;;;0;1;0;9;0;;1;;1;48.8822437313, 2.46735611742
"{""type"": ""Point"", ""coordinates"": [2.156111392846987, 48.72375900947253]}";Raoul Dautry - CEA;218;bus Massy - Saclay;218;TCSP Plateau de Saclay (Phase 2);arrêt;2;2;2;0;0;2;;0;1;0;9;0;;1;;1;48.7237590095, 2.15611139285
"{""type"": ""Point"", ""coordinates"": [2.14986986236651, 48.711880205475026]}";Orme des Merisiers;218;bus Massy - Saclay;218;TCSP Plateau de Saclay (Phase 2);arrêt;2;2;2;0;0;2;;0;1;0;9;0;;1;;1;48.7118802055, 2.14986986237
"{""type"": ""Point"", ""coordinates"": [2.450524653651714, 48.88831917893041]}";Rue Hélène;304;Tram 01 - VDF;304;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;3;4;0;0;;1;0;1;0;8;0;;1;;1;48.8883191789, 2.45052465365
"{""type"": ""Point"", ""coordinates"": [2.255501807351806, 48.93336189342038]}";Valmy Nord;302;Tram 01 - Colombes;302;T1 Ouest : Asnières - Colombes;arrêt;3;3;4;0;0;;;0;1;0;7;0;;1;;1;48.9333618934, 2.25550180735
"{""type"": ""Point"", ""coordinates"": [2.247996928922029, 48.92818096276545]}";Stade Yves du Manoir;302;Tram 01 - Colombes;302;T1 Ouest : Asnières - Colombes;arrêt;3;3;4;0;0;;;0;1;0;7;0;;1;;1;48.9281809628, 2.24799692892
"{""type"": ""Point"", ""coordinates"": [2.041072289675926, 48.93326540612854]}";Poissy;414;Train E - Ouest;414;RER E à l'Ouest - Mantes;arrêt;4;4;6;1;0;;;0;1;0;9;0;;1;;1;48.9332654061, 2.04107228968
"{""type"": ""Point"", ""coordinates"": [1.703016134167223, 48.989502508030505]}";Mantes-la-Jolie;414;Train E - Ouest;414;RER E à l'Ouest - Mantes;arrêt;4;4;6;1;1;;;0;1;0;9;0;;1;;1;48.989502508, 1.70301613417
"{""type"": ""Point"", ""coordinates"": [2.40237232941767, 48.89116103102418]}";Hoche;244;TZen3;244;TZen3 : TCSP RN3;arrêt;2;2;3;1;0;;;1;0;0;7;0;;0;;1;48.891161031, 2.40237232942
"{""type"": ""Point"", ""coordinates"": [2.413425722094125, 48.893296370506484]}";Eglise de Pantin;244;TZen3;244;TZen3 : TCSP RN3;arrêt;2;2;3;1;0;;;1;0;0;7;0;;0;;1;48.8932963705, 2.41342572209
