Geo Shape;NOM_ARRET;ID_PROJET;NOM_PROJET;ID_TRONCON;TRONCON;NATURE;ID_MODE;MODE;SOUS_MODE;COR_EXIST;TERMINUS;PHASE;VARIANTE;CREATION;PROLONG;AMELIOR;STATUT;MES;MES_date;DUP;DUP_DATE;OPENDATA;geo_point_2d
"{""type"": ""Point"", ""coordinates"": [2.346577368641346, 48.91746710608594]}";Saint-Denis Pleyel;122;GPE - m16;122;GPE - ligne 16;arrêt;1;1;1;1;1;;;1;0;0;7;0;;0;;1;48.9174671061, 2.34657736864
"{""type"": ""Point"", ""coordinates"": [2.422886384674352, 48.93077101888981]}";Le Bourget RER;122;GPE - m17;122;GPE - ligne 17 - phase 1;arrêt;1;1;1;1;0;1;;1;0;0;7;0;;0;;1;48.9307710189, 2.42288638467
"{""type"": ""Point"", ""coordinates"": [2.225381150647627, 48.89788792079952]}";Nanterre - La Folie;122;GPE - m15;122;GPE - ligne 15 - ouest - phase 2;arrêt;1;1;1;0;1;ouest/2;;1;0;0;7;0;;0;;1;48.8978879208, 2.22538115065
"{""type"": ""Point"", ""coordinates"": [1.689769866786664, 48.996047204373134]}";;214;bus Mantes la-Jolie;214;TCSP Mantes-la-Jolie/Gare du Mantois;arrêt;2;2;2;0;0;;;1;0;0;3;0;1899-12-30T00:00:00+00:00;0;;1;48.9960472044, 1.68976986679
"{""type"": ""Point"", ""coordinates"": [1.646594700858967, 49.000058046492896]}";;214;bus Mantes la-Jolie;214;TCSP Mantes-la-Jolie/Gare du Mantois;arrêt;2;2;2;1;0;;;1;0;0;3;0;1899-12-30T00:00:00+00:00;0;;1;49.0000580465, 1.64659470086
"{""type"": ""Point"", ""coordinates"": [2.380735606395095, 48.9137105455496]}";Mairie d'Aubervilliers;111;metro 12;111;ligne 12 à Mairie d'Aubervilliers;arrêt;1;1;1;1;1;;;0;1;0;9;0;;1;;1;48.9137105455, 2.3807356064
"{""type"": ""Point"", ""coordinates"": [2.194383737575739, 48.939957069620036]}";Val Notre-Dame;317;Tram 11;317;Tangentielle Nord : Sartrouville - Epinay (Phase 2);arrêt;3;3;5;0;0;;;1;0;0;7;0;;1;;1;48.9399570696, 2.19438373758
"{""type"": ""Point"", ""coordinates"": [2.257923162886201, 48.9490548785931]}";Argenteuil GC;317;Tram 11;317;Tangentielle Nord : Sartrouville - Epinay (Phase 2);arrêt;3;3;5;1;0;;;1;0;0;7;0;;1;;1;48.9490548786, 2.25792316289
"{""type"": ""Point"", ""coordinates"": [2.423283587938891, 48.93018294118861]}";Le Bourget;317;Tram 11;317;Tangentielle Nord : Epinay - Le Bourget (Phase 1);arrêt;3;3;5;1;1;;;1;0;0;9;0;;1;;1;48.9301829412, 2.42328358794
"{""type"": ""Point"", ""coordinates"": [2.481912892726975, 48.8614260355518]}";Victor Hugo;304;Tram 01 - VDF;304;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;3;4;0;0;;;0;1;0;8;0;;1;;1;48.8614260356, 2.48191289273
"{""type"": ""Point"", ""coordinates"": [2.466843819798528, 48.86317722326286]}";Théophile Sueur;304;Tram 01 - VDF;304;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;3;4;0;0;;;0;1;0;8;0;;1;;1;48.8631772233, 2.4668438198
